City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,iqaluit,63.7506,-68.5145,1.85,87,100,10.29,CA,1701280715
266,raja,8.4596,25.678,28.41,28,93,1.11,SS,1701280910
267,mucurici,-18.0933,-40.5158,35.53,30,90,4.98,BR,1701280911
268,aden,12.7794,45.0367,26.75,68,64,3.57,YE,1701280911
269,kokkola,63.8385,23.1307,-3.37,92,40,2.06,FI,1701280911
270,pangoa,-12.1167,-73.0,24.51,89,98,0.69,PE,1701280912
271,saipan,15.1355,145.701,28.39,78,75,8.23,MP,1701280728
272,manga,11.6636,-1.0731,33.02,26,26,2.51,BF,1701280912
273,chelak,39.9203,66.8611,7.42,85,100,1.4,UZ,1701280912
274,vodnyy,63.5046,53.4095,-5.88,97,100,1.25,RU,1701280913
275,wagar,16.1525,36.2032,27.31,48,3,8.39,SD,1701280913
276,el calafate,-50.3408,-72.2768,9.12,50,9,4.96,AR,1701280914
277,zhigalovo,54.8097,105.1578,-18.54,97,99,1.04,RU,1701280914
278,fendou,46.65,124.8667,-17.11,88,15,3.42,CN,1701280914
279,tamarin,-20.3256,57.3706,26.31,74,75,3.59,MU,1701280915
280,i-n-salah,27.1935,2.4607,19.25,18,0,1.99,DZ,1701280915
281,franklin,39.9667,-83.0166,4.45,54,0,5.66,US,1701280915
282,birjand,32.8663,59.2211,8.26,76,0,5.14,IR,1701280915
283,novyy urengoy,66.0833,76.6333,-8.8,96,100,3.44,RU,1701280916
284,ust-nera,64.5667,143.2,-25.39,98,95,2.48,RU,1701280916
285,banjar,-8.19,114.9675,25.76,91,97,1.58,ID,1701280916
286,mineros,-17.1167,-63.2333,32.11,50,99,4.95,BO,1701280917
287,slobozia,46.7281,29.7078,2.03,62,67,4.08,MD,1701280917
288,dingtao,35.0683,115.5625,-2.09,29,35,2.48,CN,1701280918
289,oodweyne,9.4092,45.064,21.53,55,99,5.26,SO,1701280918
290,hobyo,5.3505,48.5268,27.2,73,6,7.04,SO,1701280918
291,palu,-0.8917,119.8707,24.78,96,100,0.93,ID,1701280919
292,charters towers,-20.1,146.2667,26.5,66,57,2.53,AU,1701280919
293,sinjai,-5.1241,120.253,25.44,83,100,1.42,ID,1701280919
294,chipinge,-20.1883,32.6236,24.89,42,39,4.68,ZW,1701280919
295,dalandzadgad,43.5708,104.425,-11.63,66,0,3.42,MN,1701280920
296,ojinaga,29.5667,-104.4167,19.21,55,0,2.06,MX,1701280661
297,divnoye,45.9089,43.3547,6.63,78,100,1.14,RU,1701280920
298,urucara,-2.5364,-57.76,32.99,47,37,2.42,BR,1701280921
299,ilomantsi,62.6716,30.9328,-10.79,97,88,2.09,FI,1701280921
300,kardla,58.9978,22.7492,-7.75,85,92,3.77,EE,1701280923
301,guerrero negro,27.9769,-114.0611,19.63,56,7,7.8,MX,1701280923
302,thompson,55.7435,-97.8558,-15.91,78,75,3.09,CA,1701280924
303,malanje,-9.5402,16.341,18.51,98,64,1.83,AO,1701280925
304,paka,4.6374,103.4368,25.96,94,100,0.0,MY,1701280926
305,klaksvik,62.2266,-6.589,4.51,78,100,13.56,FO,1701280927
306,rio bueno,-40.3167,-72.9667,16.17,73,100,2.08,CL,1701280927
307,giussano,45.6941,9.2112,6.91,69,20,1.37,IT,1701280928
308,ivins,37.1686,-113.6794,12.85,36,74,2.09,US,1701280929
309,guane,22.2025,-84.0875,27.13,53,99,4.42,CU,1701280929
310,san jose de jachal,-30.2406,-68.7469,25.63,28,76,6.65,AR,1701280930
311,aktau,43.65,51.2,7.32,45,84,11.93,KZ,1701280813
312,berriozar,42.8429,-1.6697,15.96,78,75,1.03,ES,1701280931
313,dingalan,15.3897,121.3929,25.47,91,95,4.38,PH,1701280931
314,nabire,-3.3667,135.4833,24.23,92,40,1.62,ID,1701280932
315,pacocha,-17.5833,-71.3333,22.08,64,75,4.12,PE,1701280932
316,esil,51.9556,66.4042,2.1,99,100,5.22,KZ,1701280933
317,mastung,29.7994,66.845,10.01,44,0,1.49,PK,1701280933
318,hola,51.5377,23.1902,-3.9,93,62,2.86,PL,1701280935
319,guer,47.9062,-2.1231,7.61,90,100,2.56,FR,1701280935
320,sirpur,19.4833,79.6,22.28,79,47,1.21,IN,1701280936
321,isangel,-19.55,169.2667,23.37,90,89,2.8,VU,1701280936
322,hengchun,22.0042,120.7439,23.91,76,65,5.39,TW,1701280937
323,hilo,19.7297,-155.09,23.47,100,100,2.57,US,1701280732
324,nueva gerona,21.8833,-82.8,25.89,70,98,6.85,CU,1701280937
325,tubarjal,30.4999,38.216,15.97,48,0,5.57,SA,1701280938
326,mejit,10.2753,170.8646,27.12,76,100,9.02,MH,1701280938
327,ironwood,46.4547,-90.171,2.12,64,0,6.69,US,1701280939
328,turkmenbasy,40.0222,52.9552,9.43,57,0,6.17,TM,1701280939
329,bargaal,11.2864,51.0773,26.23,73,92,7.37,SO,1701280940
330,baiao,-2.7906,-49.6717,36.03,36,63,2.73,BR,1701280940
331,astrakhan,46.3497,48.0408,4.95,75,0,7.15,RU,1701280910
332,susuman,62.7833,148.1667,-20.86,100,100,0.22,RU,1701280710
333,zapolyarnyy,69.4154,30.8136,-1.4,97,97,4.18,RU,1701280942
334,safidon,29.4167,76.6667,18.3,60,18,0.83,IN,1701280942
335,hanko,59.8333,22.95,-0.57,85,97,5.81,FI,1701280943
336,sisimiut,66.9395,-53.6735,0.99,57,100,9.71,GL,1701280734
337,kuvshinovo,57.0295,34.1725,-4.87,95,100,5.65,RU,1701280944
338,sfizef,35.2346,-0.2444,17.72,47,32,0.76,DZ,1701280945
